通し番号,サンプル名,長さ,y
1,Sample1,32.7,1
2,Sample2,36.7,1
3,Sample3,37.9,1
4,Sample4,38.9,1
5,Sample5,40.1,1
6,Sample6,40.5,1
7,Sample7,40.7,1
8,Sample8,41.9,1
9,Sample9,42.4,1
10,Sample10,45.4,1
11,Sample11,48.8,1
12,Sample12,49.3,1
13,Sample13,49.3,1
14,Sample14,49.5,1
15,Sample15,50.1,1
16,Sample16,50.3,1
17,Sample17,51.5,1
18,Sample18,53.5,1
19,Sample19,55.8,1
20,Sample20,56.5,1
21,Sample21,57.9,1
22,Sample22,58.3,1
23,Sample23,58.6,1
24,Sample24,58.9,1
25,Sample25,60.2,1
26,Sample26,60.3,1
27,Sample27,60.4,1
28,Sample28,61.3,1
29,Sample29,62.1,1
30,Sample30,62.2,1
31,Sample31,62.9,1
32,Sample32,63.4,1
33,Sample33,67.6,1
34,Sample34,70.1,1
